batch_id,production_date,plant,production_line,vehicle_model,shift,units_produced,defective_units,defect_category,rework_units,scrap_units,downtime_minutes,cycle_time_seconds,quality_score,supplier_id,component_category,inspection_status,temperature_c,operator_team,notes
BATCH-00918,2025-10-19,Plant 01,Line 4,Aquila GT,Night,50,1,Interior,0,0,30.61,82.99,96.84,SUP-08,Interior,Passed,18.4,Team Alpha,Supplier component verification required.
BATCH-01552,2025-08-05,Plant 01,Line 3,Eterna,Morning,114,4,Paint,4,0,30.65,84.62,93.84,SUP-01,Electronics,Review,23.5,Team Alpha,Minor process adjustment performed.
BATCH-01192,2025-11-05,Plant 01,Line 2,Eterna,Afternoon,82,0,None,0,0,15.62,77.72,96.79,SUP-10,Body,Passed,20.6,Team Gamma,
BATCH-01448,2025-08-29,Plant 01,Line 3,Aquila GT,Morning,104,1,Mechanical,0,1,7.99,60.15,97.08,SUP-01,Interior,Passed,22.9,Team Gamma,
BATCH-00977,2025-11-05,Plant 01,Line 1,Strada X,Afternoon,110,1,Electronics,0,1,29.14,70.17,96.63,SUP-10,Braking,Passed,23.6,Team Delta,
BATCH-01299,2025-05-23,Plant 02,Line 2,Strada X,Morning,82,4,Dimensional,1,1,22.3,70.28,95.53,SUP-11,Braking,Failed,27.8,Team Gamma,Production line calibration completed.
BATCH-00033,2025-11-24,Plant 02,Line 3,Strada X,Morning,84,4,Electronics,2,2,19.08,72.14,93.15,SUP-06,Electronics,Failed,23.0,Team Gamma,Routine quality inspection completed.
BATCH-01446,2025-04-01,Plant 02,Line 1,Eterna,Afternoon,47,0,None,0,0,28.9,82.58,99.04,SUP-04,Powertrain,Passed,24.0,Team Alpha,
BATCH-01336,2025-05-22,Plant 02,Line 2,Veloce S,Morning,107,1,Electronics,1,0,8.95,86.66,98.14,SUP-04,Body,Passed,20.5,Team Alpha,
BATCH-01410,2025-11-17,Plant 02,Line 4,Strada X,Afternoon,110,0,None,0,0,12.34,91.34,100,SUP-08,Suspension,Passed,23.4,Team Delta,
BATCH-01028,2025-05-14,Plant 01,Line 2,Strada X,Afternoon,65,0,None,0,0,36.53,71.98,98.01,SUP-12,Body,Passed,22.2,Team Beta,Routine quality inspection completed.
BATCH-01959,2025-06-13,Plant 02,Line 4,Strada X,Afternoon,105,3,Assembly,3,0,25.06,87.58,93.59,SUP-12,Electronics,Review,23.4,Team Beta,Routine quality inspection completed.
BATCH-01171,2025-03-31,Plant 02,Line 1,Strada X,Afternoon,64,0,None,0,0,35.14,82.98,96.96,SUP-12,Suspension,Passed,21.7,Team Beta,
BATCH-00362,2025-04-26,Plant 01,Line 2,Eterna,Morning,86,2,Mechanical,0,1,38.58,78.46,96.89,SUP-01,Suspension,Passed,23.1,Team Beta,
BATCH-00256,2025-06-21,Plant 01,Line 4,Aquila GT,Afternoon,80,0,None,0,0,26.37,89.26,97.62,SUP-08,Braking,Passed,25.1,Team Alpha,
BATCH-00683,2025-12-01,Plant 02,Line 2,Aquila GT,Afternoon,55,0,None,0,0,33.66,87.72,99.36,SUP-11,Suspension,Passed,23.5,Team Beta,
BATCH-01700,2025-03-18,Plant 01,Line 4,Veloce S,Night,96,0,None,0,0,9.7,83.29,96.44,SUP-10,Powertrain,Passed,20.7,Team Alpha,Routine quality inspection completed.
BATCH-00534,2025-12-28,Plant 02,Line 4,Veloce S,Afternoon,93,1,Electronics,0,1,43.24,89.64,96.84,SUP-12,Suspension,Passed,21.5,Team Alpha,
BATCH-01513,2025-08-10,Plant 02,Line 2,Eterna,Night,108,3,Mechanical,3,0,21.58,88.04,94.46,SUP-04,Suspension,Review,21.8,Team Gamma,
BATCH-00361,2025-05-22,Plant 02,Line 4,Veloce S,Afternoon,119,1,Electronics,1,0,16.49,66.7,95.71,SUP-09,Suspension,Passed,24.7,Team Gamma,Production line calibration completed.
BATCH-01504,2025-04-15,Plant 02,Line 4,Eterna,Morning,94,1,Electronics,0,0,38.77,73.41,96.65,SUP-10,Body,Passed,21.6,Team Beta,
BATCH-01888,2025-03-06,Plant 01,Line 3,Veloce S,Afternoon,112,2,Assembly,0,1,42.43,72.26,95.51,SUP-02,Powertrain,Passed,19.7,Team Beta,
BATCH-00910,2025-12-17,Plant 02,Line 1,Strada X,Afternoon,68,4,Mechanical,3,1,22.83,73.93,91.2,SUP-12,Braking,Failed,18.8,Team Gamma,Routine quality inspection completed.
BATCH-00776,2025-01-07,Plant 01,Line 4,Aquila GT,Morning,94,0,None,0,0,27.47,79.77,98.47,SUP-06,Electronics,Passed,21.0,Team Delta,
BATCH-01591,2025-12-18,Plant 02,Line 4,Eterna,Morning,120,2,Mechanical,1,0,50.12,61.27,95.51,SUP-03,Body,Passed,25.0,Team Beta,Production line calibration completed.
BATCH-01750,2025-06-30,Plant 02,Line 3,Veloce S,Afternoon,68,2,Dimensional,2,0,46.4,74.21,94.41,SUP-07,Braking,Review,25.9,Team Beta,Routine quality inspection completed.
BATCH-01885,2025-06-06,Plant 01,Line 2,Veloce S,Night,79,0,None,0,0,43.6,85.8,96.35,SUP-09,Electronics,Passed,20.3,Team Delta,Production line calibration completed.
BATCH-01627,2025-08-18,Plant 01,Line 1,Eterna,Morning,116,5,Electronics,4,0,0.0,83.8,92.79,SUP-07,Electronics,Failed,23.2,Team Alpha,
BATCH-01925,2025-04-29,Plant 01,Line 3,Strada X,Afternoon,91,3,Paint,0,0,40.44,92.17,95.4,SUP-08,Electronics,Review,20.0,Team Beta,Supplier component verification required.
BATCH-01144,2025-03-13,Plant 01,Line 1,Aquila GT,Night,105,4,Dimensional,4,0,41.4,82.42,94.68,SUP-06,Body,Review,20.4,Team Gamma,Routine quality inspection completed.
BATCH-00926,2025-01-12,Plant 01,Line 3,Aquila GT,Night,97,100,Electronics,7,0,37.59,81.38,88.47,SUP-07,Suspension,Failed,18.3,Team Alpha,
BATCH-00454,2025-06-21,Plant 02,Line 4,Aquila GT,Night,107,2,Dimensional,2,0,18.18,92.68,96.8,SUP-03,Suspension,Passed,21.9,Team Gamma,Minor process adjustment performed.
BATCH-00229,2025-07-29,Plant 02,Line 4,Eterna,Morning,96,3,Interior,1,2,28.52,77.97,93.99,SUP-11,Electronics,Review,21.0,Team Gamma,
BATCH-00399,2025-06-21,Plant 02,Line 4,Strada X,Night,114,3,Electronics,2,1,23.15,90.5,94.74,SUP-01,Interior,Review,20.9,Team Delta,Production line calibration completed.
BATCH-00348,2025-08-29,Plant 02,Line 1,Eterna,Morning,77,1,Interior,1,0,18.42,91.19,97.43,SUP-03,Interior,Passed,22.5,Team Gamma,
BATCH-00170,2025-05-12,Plant 02,Line 3,Strada X,Afternoon,85,5,Interior,4,1,13.99,87.94,92.28,SUP-08,Body,Failed,20.9,Team Delta,
BATCH-01164,2025-12-25,Plant 01,Line 1,Aquila GT,Afternoon,119,0,None,0,0,46.83,82.44,99.88,,Powertrain,Passed,25.1,Team Alpha,Routine quality inspection completed.
BATCH-00635,2025-09-24,Plant 01,Line 1,Aquila GT,Morning,52,0,None,0,0,29.42,85.68,100,SUP-10,Powertrain,Passed,22.5,Team Delta,Production line calibration completed.
BATCH-00322,2025-12-06,Plant 01,Line 1,Veloce S,Afternoon,79,1,Assembly,0,1,20.32,66.55,95.65,SUP-03,Body,Passed,20.1,Team Gamma,
BATCH-00462,2025-01-22,Plant 02,Line 1,Strada X,Morning,107,1,Dimensional,0,0,22.39,95.4,97.52,SUP-06,Powertrain,Passed,26.1,Team Alpha,
BATCH-01886,2025-02-14,Plant 01,Line 1,Aquila GT,Night,68,2,Electronics,1,1,,70.86,93.72,SUP-01,Powertrain,Review,19.7,Team Gamma,Supplier component verification required.
BATCH-01442,2025-06-29,Plant 01,Line 3,Eterna,Night,118,1,Dimensional,0,0,43.48,88.21,94.31,SUP-08,Body,Passed,22.1,Team Alpha,Minor process adjustment performed.
BATCH-00072,2025-11-16,Plant 02,Line 2,Strada X,Night,106,2,Interior,0,1,46.9,76.34,94.14,SUP-12,Body,Passed,24.3,Team Gamma,Supplier component verification required.
BATCH-01409,2025-11-02,Plant 02,Line 2,Veloce S,Night,75,0,None,0,0,,94.02,95.8,SUP-02,Interior,Passed,24.7,Team Beta,Supplier component verification required.
BATCH-01086,2025-07-02,Plant 02,Line 2,Veloce S,Night,101,0,None,0,0,47.92,58.2,98.4,SUP-04,Powertrain,Passed,21.3,Team Delta,Production line calibration completed.
BATCH-01539,2025-09-21,Plant 02,Line 1,Veloce S,Afternoon,62,0,None,0,0,630.64,76.96,97.4,SUP-01,Interior,Passed,22.9,Team Delta,Supplier component verification required.
BATCH-01292,2025-12-08,Plant 01,Line 2,Strada X,Morning,47,0,None,0,0,8.42,76.84,,SUP-11,Interior,Passed,22.4,Team Gamma,
BATCH-00461,2025-03-15,Plant 02,Line 3,Aquila GT,Afternoon,100,0,None,0,0,38.19,81.69,98.42,SUP-07,Body,Passed,21.5,Team Delta,Routine quality inspection completed.
BATCH-00617,2025-05-10,Plant 01,Line 4,Veloce S,Afternoon,61,4,Mechanical,1,3,46.02,67.82,90.32,SUP-07,Braking,Failed,22.4,Team Delta,
BATCH-01317,2025-12-21,Plant 01,Line 3,Veloce S,Afternoon,108,4,Interior,1,1,52.54,81.11,93.93,SUP-07,Interior,Review,23.2,Team Beta,
BATCH-00061,2025-01-03,Plant 02,Line 4,Strada X,Night,69,0,None,0,0,11.49,89.56,97.69,SUP-12,Body,Passed,23.0,Team Gamma,Production line calibration completed.
BATCH-01396,2025-06-06,Plant 01,Line 2,Veloce S,Morning,90,2,Interior,1,1,27.66,79.08,94.5,SUP-10,Body,Passed,22.9,Team Gamma,Production line calibration completed.
BATCH-00118,2025-10-22,Plant 02,Line 3,Strada X,Morning,93,2,Dimensional,1,1,8.17,87.59,95.94,SUP-06,Interior,Passed,21.8,Team Delta,Supplier component verification required.
BATCH-00015,2025-04-21,Plant 01,Line 2,Strada X,Afternoon,95,0,None,0,0,4.94,84.4,99.07,SUP-11,Suspension,Passed,22.3,Team Delta,
BATCH-00793,2025-09-14,Plant 01,Line 3,Veloce S,Afternoon,92,1,Paint,0,0,39.36,74.21,97.5,SUP-09,Electronics,Passed,22.5,Team Delta,
BATCH-00757,2025-10-24,Plant 01,Line 1,Veloce S,Night,50,2,Dimensional,1,1,5.28,84.39,95.11,SUP-03,Electronics,Review,25.3,Team Alpha,Supplier component verification required.
BATCH-00570,2025-01-15,Plant 02,Line 1,Veloce S,Afternoon,83,1,Electronics,0,0,37.44,92.85,96.27,SUP-12,Interior,Passed,20.9,Team Delta,
BATCH-00507,2025-12-09,Plant 02,Line 4,Veloce S,Afternoon,64,0,None,0,0,25.96,93.14,99.57,SUP-06,Interior,Passed,24.8,Team Alpha,Supplier component verification required.
BATCH-00741,2025-07-08,Plant 02,Line 4,Eterna,Morning,105,0,None,0,0,16.7,74.19,100,SUP-05,Suspension,Passed,23.6,Team Alpha,
BATCH-00204,2025-06-29,Plant 01,Line 3,Aquila GT,Afternoon,71,1,Assembly,1,0,34.54,78.33,96.79,SUP-02,Electronics,Passed,23.6,Team Alpha,
BATCH-01596,2025-09-21,Plant 02,Line 3,Veloce S,Night,94,6,Assembly,4,1,42.75,83.15,91.57,SUP-05,Suspension,Failed,25.6,Team Delta,
BATCH-00237,2025-07-13,Plant 01,Line 1,Strada X,Afternoon,59,1,Dimensional,0,0,44.79,83.17,96.82,SUP-11,Braking,Passed,23.1,Team Gamma,
BATCH-00011,2025-03-21,Plant 02,Line 2,Veloce S,Afternoon,103,2,Dimensional,2,0,52.94,77.65,93.8,SUP-11,Electronics,Review,21.8,Team Alpha,Production line calibration completed.
BATCH-00476,2025-06-05,Plant 02,Line 4,Aquila GT,Night,45,1,Dimensional,1,0,61.24,66.9,93.29,SUP-04,Powertrain,Review,19.2,Team Gamma,Production line calibration completed.
BATCH-00468,2025-09-08,Plant 02,Line 3,Strada X,Night,65,1,Assembly,0,0,30.28,98.2,97.86,SUP-06,Braking,Passed,19.9,Team Delta,
BATCH-00587,2025-02-26,Plant 01,Line 1,Strada X,Night,69,1,Interior,0,0,23.17,92.08,95.82,SUP-06,Body,Passed,24.0,Team Delta,
BATCH-01957,2025-01-05,Plant 01,Line 2,Eterna,Night,46,1,Mechanical,1,0,21.56,72.01,95.79,SUP-01,Suspension,Passed,18.0,Team Alpha,
BATCH-00615,2025-06-13,Plant 02,Line 4,Veloce S,Morning,51,0,None,0,0,33.83,63.66,97.01,SUP-07,Powertrain,Passed,22.9,Team Gamma,
BATCH-00307,2025-03-03,Plant 01,Line 2,Veloce S,Afternoon,66,1,Assembly,0,1,8.59,91.94,98.94,SUP-10,Interior,Passed,28.4,Team Beta,
BATCH-00949,2025-06-15,Plant 02,Line 1,Aquila GT,Afternoon,74,0,None,0,0,30.71,99.52,96.92,SUP-07,Braking,Passed,21.6,Team Gamma,
BATCH-00604,2025-08-11,Plant 02,Line 3,Strada X,Morning,100,2,Dimensional,2,0,31.52,83.24,96.9,SUP-12,Body,Passed,22.2,Team Delta,
BATCH-00905,2025-06-04,Plant 01,Line 1,Strada X,Afternoon,49,0,None,0,0,41.99,72.36,98.36,SUP-04,Braking,Passed,23.5,Team Gamma,
BATCH-01065,2025-11-05,Plant 01,Line 1,Strada X,Morning,104,1,Paint,1,0,31.8,80.76,96.5,SUP-03,Body,Passed,27.0,Team Gamma,Supplier component verification required.
BATCH-01840,2025-08-05,Plant 02,Line 3,Aquila GT,Night,75,4,Electronics,1,2,28.04,103.94,91.53,SUP-12,Suspension,Failed,18.3,Team Alpha,Minor process adjustment performed.
BATCH-00564,2025-12-04,Plant 01,Line 4,Eterna,Afternoon,113,3,Interior,0,3,12.11,81.61,96.87,SUP-04,Body,Review,24.0,Team Delta,
BATCH-01519,2025-03-05,Plant 01,Line 3,Veloce S,Afternoon,50,1,Paint,1,0,68.48,70.25,94.31,SUP-05,Interior,Passed,22.6,Team Delta,Minor process adjustment performed.
BATCH-01871,2025-07-12,Plant 02,Line 1,Aquila GT,Afternoon,96,1,Dimensional,1,0,38.58,76.19,95.72,SUP-07,Interior,Passed,23.6,Team Gamma,Supplier component verification required.
BATCH-01656,2025-12-18,Plant 01,Line 2,Veloce S,Night,65,2,Mechanical,1,1,37.23,72.58,94.65,SUP-02,Electronics,Review,21.6,Team Gamma,Routine quality inspection completed.
BATCH-01391,2025-03-19,Plant 02,Line 4,Veloce S,Night,79,4,Mechanical,1,0,20.58,84.39,91.93,SUP-08,Powertrain,Failed,20.8,Team Gamma,
BATCH-01032,2025-07-29,Plant 01,Line 2,Eterna,Afternoon,59,0,None,0,0,15.57,96.59,96.08,SUP-01,Suspension,Passed,20.4,Team Beta,
BATCH-00473,2025-06-17,Plant 02,Line 1,Strada X,Night,63,2,Mechanical,2,0,55.41,84.88,94.15,SUP-07,Electronics,Review,25.1,Team Gamma,Production line calibration completed.
BATCH-00154,2025-07-07,Plant 01,Line 1,Veloce S,Afternoon,85,1,Dimensional,0,1,23.29,86.68,98.81,SUP-04,Braking,Passed,22.3,Team Gamma,Production line calibration completed.
BATCH-01085,2025-04-15,Plant 02,Line 4,Eterna,Afternoon,102,1,Mechanical,0,1,24.94,63.61,97.35,SUP-06,Interior,Passed,19.9,Team Gamma,Minor process adjustment performed.
BATCH-01213,2025-07-26,Plant 01,Line 4,Strada X,Morning,120,1,Dimensional,1,0,38.91,72.49,96.59,SUP-09,Body,Passed,18.7,Team Gamma,Routine quality inspection completed.
BATCH-00343,2025-04-10,Plant 01,Line 3,Strada X,Afternoon,110,1,Mechanical,1,0,67.19,68.95,96.76,SUP-10,Interior,Passed,22.9,Team Gamma,
BATCH-01262,2025-02-27,Plant 01,Line 1,Eterna,Afternoon,106,1,Assembly,1,0,1.08,99.22,100,SUP-11,Braking,Passed,22.2,Team Beta,
